2.831e-18,-7.0171e-18,2.854e-18,5.9454e-18,9.6969e-20,-4.9182e-18,1.5881e-18,-3.1967e-18,2.4047e-18,5.503e-19,-1.0408e-18,2.915e-18,-3.9733e-18,2.5352e-18,5.674e-18,-4.3254e-18,6.3905e-18,-7.4295e-18,-1.9791e-18,2.1221e-19
1.6725e-18,-5.3615e-18,6.9607e-19,6.0141e-18,2.2623e-18,-2.5555e-18,1.3391e-18,-2.6678e-18,6.9551e-19,7.4024e-19,1.1147e-19,2.6215e-18,-3.0007e-18,2.8258e-18,6.3107e-18,-2.4389e-18,5.0642e-18,-6.4568e-18,-1.9696e-18,2.3287e-18
9.1891e-19,-1.8735e-18,6.4634e-20,2.3117e-18,1.9099e-19,-1.6373e-18,1.5108e-19,-5.4978e-19,5.95e-19,1.7579e-19,-2.039e-19,9.3299e-19,-1.021e-18,1.1166e-18,2.3795e-18,-8.2148e-19,1.7115e-18,-2.2739e-18,-7.1909e-19,8.5265e-19
7.2704e-19,-1.0376e-18,4.2513e-19,1.4018e-18,1.9563e-19,-5.9679e-19,4.272e-19,-2.747e-19,5.4473e-19,3.3826e-20,-1.8504e-19,6.3218e-19,-6.9035e-19,5.1192e-19,1.1363e-18,-5.2985e-19,1.2966e-18,-1.4856e-18,-7.3024e-19,8.556e-19
1.8659e-18,-3.3912e-18,2.2937e-19,5.4072e-18,3.3083e-19,-1.9913e-18,7.8821e-19,-1.3396e-18,2.0441e-18,9.243e-19,-1.2316e-18,1.746e-18,-1.8689e-18,1.513e-18,4.5381e-18,-2.0046e-18,4.1516e-18,-5.467e-18,-1.6755e-18,-2.2205e-18
1.9711e-18,-5.8472e-18,2.6513e-18,6.471e-18,-9.6854e-21,-3.5613e-18,2.271e-18,-1.309e-18,2.753e-18,-1.9568e-19,-1.5025e-18,3.0975e-18,-3.3423e-18,2.8004e-18,5.745e-18,-3.0184e-18,6.2247e-18,-8.6453e-18,-2.7263e-18,-2.9868e-18
1.377e-18,-3.2393e-18,2.7096e-19,4.2194e-18,1.8341e-18,-1.7145e-18,9.5384e-19,-1.9647e-18,1.4737e-18,6.2782e-19,-1.4003e-18,1.9175e-18,-2.18e-18,1.6073e-18,4.4076e-18,-1.9363e-18,4.2148e-18,-5.1956e-18,-1.5503e-18,2.8457e-19
2.1335e-18,-7.2527e-18,1.8328e-18,1.0119e-17,9.487e-19,-4.2309e-18,2.4249e-18,-3.4427e-18,1.7919e-18,7.8166e-19,-1.4772e-19,4.005e-18,-3.7284e-18,2.12e-18,7.0754e-18,-3.0606e-18,6.5049e-18,-9.7595e-18,-2.701e-18,7.0281e-18
3.6897e-18,-7.8254e-18,2.857e-18,9.5542e-18,6.2438e-18,-3.0766e-18,1.9643e-18,-2.6426e-18,4.3264e-18,1.0596e-18,-2.7419e-18,2.3432e-18,-3.9759e-18,7.862e-19,8.1774e-18,-3.0496e-18,9.5905e-18,-1.1472e-17,-3.2736e-18,-3.0715e-18
2.303e-18,-6.4281e-18,2.1276e-18,6.2845e-18,4.8864e-19,-2.7867e-18,1.8324e-18,3.5413e-20,1.1443e-18,2.1265e-19,-4.7585e-19,3.0677e-18,-3.3941e-18,3.0817e-18,6.3962e-18,-3.5898e-18,5.6463e-18,-7.674e-18,-2.9329e-18,1.3255e-19
